,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
719,Härmälänranta,3h+k+kph/s+vh,kt,60.0,210000,3500,2017,2/8,on,hyvä,,C2013
720,Keskusta,"3h, k",kt,69.0,210000,3043,1957,3/7,on,tyyd.,oma,E2013
721,Lukonmäki,"3h, k, p",kt,77.0,122000,1584,1980,2/3,ei,,oma,D2018
722,Kaukajärvi,"3h, k, sauna, l...",kt,78.0,218000,2795,2015,3/7,on,hyvä,oma,C2013
723,Keskusta,"3h, k, kph, wc, vh",kt,90.0,255000,2833,1927,3/7,on,hyvä,vuokra,F2013
724,Hatanpää,"3h, k, työ...",kt,71.0,242000,3408,1999,3/4,on,hyvä,oma,E2018
725,Härmälänranta,3h+kt+r+kht+s,kt,97.0,425000,4381,2015,1/5,on,hyvä,,C2018
726,Ikuri,3h+k+s,rt,78.0,176000,2256,1980,1/1,ei,hyvä,vuokra,
727,Kaarila,3h+k+et+2xwc+kp...,rt,87.0,184500,2121,1982,1/2,ei,,oma,C2018
728,Olkahinen,"3 h, k, kph, s,...",rt,76.0,193000,2539,1983,1/1,ei,hyvä,vuokra,
729,Lentävänniemi,"3h, k, kph, las.p",kt,76.0,131000,1724,1971,2/3,ei,tyyd.,oma,D2018
730,Ruotula,3h+k+kph+vh+las.p.,kt,76.0,134000,1763,1966,3/3,ei,hyvä,vuokra,D2018
731,Tammela,3h+kk,kt,50.0,165000,3300,1939,4/6,on,tyyd.,oma,G2013
732,Härmälänranta,"3h, k, s/kph/wc...",kt,81.5,277000,3399,2011,3/5,on,hyvä,,D2013
733,Keskusta,3h+kt+s,kt,76.0,612000,8053,2025,5/9,on,hyvä,oma,B2018
734,Tampella,"3h, k, kph/s, e...",kt,78.0,359000,4603,2008,9/12,ei,hyvä,oma,D2013
735,Ryydynpohja,"3h, k, kph/saun...",rt,80.5,208000,2584,1999,1/1,ei,hyvä,oma,D2018
736,Tammela,"3h, k, kph, s, ...",kt,66.5,165000,2481,1981,2/6,on,tyyd.,oma,D2018
737,Halkoniemi,"3h, k, kph, s, ...",kt,87.5,305500,3491,2018,2/7,on,hyvä,vuokra,C2013
738,Hakametsä,"3h,k,kph,parveke",kt,71.0,212000,2986,1972,5/5,on,hyvä,oma,E2013
739,Keskusta,3h+kt+s+terassi,kt,99.5,500000,5025,2022,9/9,on,hyvä,vuokra,B2018
740,Lintuhytti,3 huonetta + ke...,kt,69.0,227000,3290,2020,1/2,ei,hyvä,vuokra,B2018
741,Kaleva,3h+k+parveke (Y...,kt,73.5,174000,2367,1958,5/7,on,tyyd.,vuokra,G2013
742,Kyttälä,"3-4h, k, kph, s",kt,120.5,320000,2656,1927,-1/3,ei,hyvä,oma,
743,Hervanta,"3h, k, kph/wc, ...",kt,74.5,105000,1409,1979,8/8,on,hyvä,oma,F2013
744,Rahola,"3h,k",kt,76.0,138500,1822,1972,4/5,on,,oma,D2018
745,Vuores,3h+k+et+wc+kph+...,kt,76.0,212000,2789,2013,2/5,on,hyvä,vuokra,C2018
746,Finninmäki,"3h, k, kph, s, ...",rt,76.5,216000,2824,1983,1/1,ei,hyvä,oma,E2013
747,Amuri,3h+k+kph+wc+p,kt,89.5,318000,3553,1939,7/7,on,tyyd.,vuokra,E2013
748,Kaleva,"3h, k, kph/wc, ...",kt,61.5,248000,4033,1963,6/6,on,hyvä,vuokra,F2013
749,Petsamo,"3h, k, s, tkh, ...",rt,90.0,298000,3311,1926,,ei,hyvä,vuokra,D2018
750,Härmälänranta,3h + kt + s,kt,63.0,261000,4143,2021,4/7,on,,oma,A2018
751,Olkahinen,3h+k+s,rt,58.0,160000,2759,1995,1/1,ei,hyvä,vuokra,D2018
752,Kaakinmaa,3h+k+kph+WC+vh,kt,73.5,290000,3946,1969,3/7,on,tyyd.,oma,F2013
753,Hallila,3h+k,rt,75.0,185558,2474,1992,1/1,ei,,vuokra,E2013
754,Atala,3h+k+s,rt,78.0,219000,2808,2003,1/2,ei,,oma,
755,Ruotula,3h+k+p,kt,76.0,105000,1382,1966,3/3,ei,tyyd.,vuokra,D2018
756,Onkiniemi,"3h, k, vh, er.w...",kt,84.5,308000,3645,2004,2/3,on,hyvä,vuokra,F2013
757,Niemenranta,SENIORIASUNTO 3...,kt,67.0,250000,3731,2017,5/5,on,hyvä,,C2013
758,Kaukajärvi,"3h, k, kph, eri...",kt,72.0,143500,1993,1968,3/4,ei,hyvä,oma,C2018
759,Janka,3h+kk+s+kph/wc+...,kt,78.0,202500,2596,2004,4/4,on,hyvä,vuokra,F2013
760,Hyhky,3h+k+s,kt,72.5,159500,2200,1989,2/2,ei,tyyd.,oma,F2013
761,Härmälänranta,"3h,k,kph,s,vh,l...",kt,65.0,269000,4138,2017,4/6,on,hyvä,,C2013
762,Tammela,"3h, k, vh, kph/...",kt,80.0,315000,3938,1974,7/7,on,hyvä,oma,C2018
763,Tammela,3h+k+s,kt,71.0,360000,5070,2018,4/7,on,,oma,C2018
764,Takahuhti,"3h,k,vh,wc,kph,s",rt,80.0,179500,2244,1983,1/1,ei,tyyd.,oma,E2013
765,Pohtola,3h+k+kph+s+vh+w...,kt,64.0,129000,2016,1990,2/2,ei,,oma,F2013
766,Juhannuskylä,"3h,k,kph",kt,75.0,310000,4133,1910,,on,huono,oma,
767,Ranta-tampella,3h+k+s,kt,63.0,340761,5409,2024,11/14,on,hyvä,vuokra,B2018
768,Pappila,3h+k+kph/wc+vh+...,kt,68.0,158000,2324,1969,4/4,on,,oma,
769,Halkoniemi,"3h,k,s",kt,72.0,368000,5111,2019,5/6,on,hyvä,vuokra,C2013
770,Ranta-tampella,3h+kt+s,kt,72.0,482000,6694,2018,2/2,on,hyvä,,C2013
771,Härmälänranta,"2-3h, k, vh, kp...",kt,79.5,428000,5384,2015,5/5,on,hyvä,,C2018
772,Tammela,"3h, k, kph, s, ...",kt,63.5,318000,5008,2018,6/12,on,hyvä,oma,C2013
773,Kaleva,"3h, k, khh/kph,...",kt,77.0,240000,3117,1993,1/7,on,hyvä,oma,E2013
774,Niemenranta,3h+k+kph+s+khh+...,kt,83.0,358000,4313,2016,6/8,on,hyvä,vuokra,B2018
775,Pyynikki,"3h,k,s,,kph,p,v...",kt,77.0,380000,4935,2010,6/7,on,,oma,D2013
776,Atala,"3h, k, kph, s, p",kt,66.0,173000,2621,2005,2/4,on,hyvä,oma,C2018
777,Tammela,"3h, k, kh, parveke",kt,59.5,173000,2908,1955,3/6,on,tyyd.,vuokra,D2018
778,Kaleva,3h+k+wc/kph+las...,kt,62.0,206000,3323,1964,1/6,on,hyvä,vuokra,
779,Irjala,"3h, k, s",kt,71.0,129000,1817,1982,1/3,ei,,oma,F2013
780,Lielahti,"3h,k,kph,kh-til...",kt,72.0,312500,4340,2019,7/8,on,hyvä,oma,B2018
781,Viiala,"3h,k,kph,s,vh,e...",kt,79.0,204000,2582,1988,,ei,,oma,D2018
782,Keskusta,3h+k+p,kt,69.0,249000,3609,1959,3/6,on,tyyd.,oma,F2013
783,Lamminpää,"3h,k,s",rt,81.0,190000,2346,1988,1/1,ei,,oma,
784,Vuores,3h+k+s+p,kt,80.0,247000,3088,2017,2/2,ei,hyvä,vuokra,C2013
785,Vuores,3h+kt+kph/wc+s+...,rt,63.0,220000,3492,2017,1/1,ei,,vuokra,C2013
786,Keskusta,"3h, k, wc, parveke",kt,62.0,197000,3177,1952,3/3,ei,,vuokra,
787,Kaleva,"3h, k, kph",kt,56.0,229000,4089,1959,1/4,ei,hyvä,vuokra,F2013
788,Keskusta,3h+kt,kt,59.5,535000,8992,2025,7/9,on,hyvä,oma,B2018
789,Peltolammi,"3h,avokeitti...",kt,70.0,117821,1683,1970,3/6,on,hyvä,vuokra,F2013
790,Keskusta,"3h, k, s, kph, ...",kt,86.5,378000,4370,1999,6/8,on,hyvä,oma,
791,Kaleva,3h+k+p,kt,70.0,170000,2429,1959,2/6,on,tyyd.,vuokra,F2013
792,Keskusta,"3h,k",kt,80.0,315000,3938,1957,,on,,oma,E2018
793,Vuores,3h+k+s,kt,67.5,211500,3133,2014,2/2,ei,hyvä,vuokra,C2018
