,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
0,Lentävänniemi,"1h, kk",kt,36.5,83800,2296,1972,5/8,on,tyyd.,oma,C2018
1,Keskusta,"1h, kt",kt,35.0,192000,5486,2024,7/7,on,hyvä,oma,F2013
2,Peltolammi,"1h, k, alk, kph...",kt,36.0,78000,2167,1971,4/7,on,tyyd.,vuokra,F2013
3,Niemenranta,1h + kt+ alk,kt,36.0,109000,3028,2017,2/4,on,hyvä,vuokra,C2013
4,Kaleva,"1h,kk,kph",kt,21.0,90000,4286,1942,4/4,ei,,oma,F2013
5,Armonkallio,1h+alkovi+kk+kp...,kt,29.0,110000,3793,1960,2/3,ei,,oma,D2018
6,Polso,"1h, kk",kt,26.5,20000,755,1975,1/2,ei,tyyd.,vuokra,D2018
7,Tahmela,1h+kk (YJ:n muk...,rt,21.0,65500,3119,1930,1/2,ei,tyyd.,oma,D2018
8,Hakametsä,1h + kk + vh,kt,36.0,100571,2794,1970,3/3,ei,tyyd.,oma,D2018
9,Ratinanranta,1h+kk+kph+lasit...,kt,38.0,194000,5105,2011,4/5,on,hyvä,oma,E2018
10,Kaleva,"1h, kk, kph",kt,36.0,137000,3806,1960,1/6,on,hyvä,vuokra,G2013
11,Hervanta,1h+kk,kt,29.5,76000,2576,1977,4/8,on,tyyd.,oma,D2018
12,Tammela,"1h,avok,kph",kt,26.5,112000,4226,1975,2/7,on,hyvä,oma,F2013
13,Hervanta,"1h, kph, las. p...",kt,26.0,108500,4173,2019,5/8,on,,vuokra,C2013
14,Kissanmaa,tupakeittiö...,kt,30.0,70000,2333,1958,1/3,ei,,vuokra,D2018
15,Annala,1h+kt+parveke,kt,20.5,90000,4390,2021,4/5,on,hyvä,vuokra,B2018
16,Kaleva,"1h, kk, vth, kph",kt,29.2,132000,4521,1958,7/7,on,tyyd.,vuokra,C2007
17,Hervanta,1h+kk,kt,32.0,84000,2625,1974,2/7,on,hyvä,oma,F2013
18,Kaleva,1h+kk,kt,35.5,96000,2704,1963,3/3,on,tyyd.,vuokra,F2013
19,Armonkallio,1h+kk+kh+p,kt,24.0,110000,4583,1962,1/4,ei,hyvä,oma,
20,Tammela,"1h,kk",kt,25.0,125000,5000,1957,2/6,on,hyvä,oma,D2018
21,Hervantajärvi,"1h, kt, parveke",kt,27.0,110028,4075,2023,2/5,on,,vuokra,B2018
22,Pispala,"1h, k, wc, p",kt,33.0,119000,3606,1955,2/3,ei,hyvä,oma,E2018
23,Härmälä,"1h,k,kph",kt,39.0,69000,1769,1937,2/2,ei,,vuokra,D2018
24,Rantaperkiö,"1h, kk, kph/wc",kt,23.0,74900,3257,1945,1/3,ei,tyyd.,oma,D2018
25,Tammela,"1h, alkovi, kk,...",kt,31.0,110000,3548,1972,4/6,on,tyyd.,oma,F2013
26,Hervanta,"1h,kk,p",kt,35.0,65000,1857,1979,5/5,on,,oma,D2018
27,Linnainmaa,"1h,kk,kph/wc,s,...",kt,31.0,98300,3171,1989,1/5,on,,oma,F2013
28,Härmälänranta,1h + kt + vh + alk,kt,36.5,161900,4436,2017,6/6,on,hyvä,,C2013
29,Niemenranta,"1h, kt, alk",kt,25.0,110050,4402,2019,6/7,on,,,C2013
30,Hervanta,"1h,+k",kt,31.5,59000,1873,1976,3/7,on,huono,oma,D2018
31,Amuri,1+kk+kph,kt,33.0,135000,4091,1968,8/9,on,hyvä,oma,D2018
32,Keskusta,1h+kk+kph,kt,34.0,180000,5294,2008,1/5,on,,oma,F2013
33,Keskusta,"1 h, kk, alkovi...",kt,30.0,135000,4500,1969,6/6,on,tyyd.,oma,F2013
34,Keskusta,"1h, kk",kt,35.0,139000,3971,1951,3/5,on,tyyd.,oma,F2018
35,Härmälänranta,"1h, kt, alk.",kt,36.5,155000,4247,2017,6/6,on,hyvä,vuokra,C2013
36,Härmälä,"1h,kt,p",kt,41.0,164000,4000,2015,1/5,on,hyvä,,C2018
37,Kaleva,1h+kk+kh,kt,28.0,128000,4571,1954,2/4,ei,hyvä,vuokra,C2018
38,Ylä-pispala,"1h, kk, s, p,va...",kt,31.0,143000,4613,1997,1/2,ei,,oma,
39,Kaakinmaa,1h+k,kt,31.0,122000,3935,1969,4/7,on,,oma,D2018
40,Peltolammi,"1h,k",kt,33.0,80300,2433,1967,1/7,on,hyvä,vuokra,C2018
41,Annala,oh+tk+s,kt,40.0,82000,2050,1993,3/4,on,,oma,F2018
42,Tammela,1h+kk+kph,kt,34.0,110000,3235,1972,,on,tyyd.,oma,F2018
43,Tammela,"1h, kk, kph",kt,21.0,113000,5381,1941,6/6,on,,vuokra,E2018
44,Viinikka,1h+k+kph/wc,kt,33.0,75000,2273,1950,1/2,ei,,vuokra,
45,Tesoma,"1 h,k,kph",kt,33.0,56000,1697,1970,2/3,ei,,vuokra,G2018
46,Hervanta,1h+alkovi+kk+kp...,kt,31.5,55000,1746,1974,1/8,on,huono,oma,E2018
47,Keskusta,"1h, kk, s, kph,...",kt,42.0,175000,4167,1998,7/8,on,,oma,E2013
48,Kaleva,"1h,k",kt,48.0,112500,2344,1951,2/9,on,,vuokra,F2013
49,Ratinanranta,1h+kt+kph+lasit...,kt,38.0,199000,5237,2011,3/5,on,hyvä,oma,E2018
50,Vuores,"1h, alk, kt, la...",kt,32.5,116000,3569,2018,1/6,on,hyvä,vuokra,C2013
51,Niemenranta,"1h, kt, alk",kt,25.0,102000,4080,2019,4/7,on,,,C2013
52,Nekala,"1h, k, kph",kt,39.0,65000,1667,1945,1/2,ei,hyvä,vuokra,D2007
53,Janka,"1h,tupak,s",kt,42.0,105000,2500,2004,4/4,on,hyvä,vuokra,E2018
54,Hervanta,"1h, kt, kph, al...",kt,31.0,130877,4222,2022,3/5,on,hyvä,vuokra,B2018
55,Hervanta,"1h, kt, kph, al...",kt,31.0,136533,4404,2022,4/5,on,hyvä,vuokra,B2018
56,Järvensivu,1h+k,kt,30.0,60000,2000,1960,2/2,ei,tyyd.,vuokra,E2013
57,Kalkunvuori,1h+tup+s,kt,38.0,115000,3026,2008,1/2,ei,,vuokra,F2013
58,Amuri,1h+kk+alkovi+kh,kt,30.0,107000,3567,1937,2/6,on,,oma,D2018
59,Lielahti,1h + tupak + s,kt,42.0,120000,2857,1993,1/2,ei,,oma,
60,Tammela,1h+kk+kph,kt,27.0,120000,4444,1954,3/7,on,hyvä,vuokra,F2013
61,Tammela,"1h, k",kt,35.5,135000,3803,1932,1/4,ei,hyvä,oma,G2013
62,Hervanta,"1h, kk",kt,34.0,58000,1706,1977,2/5,on,,oma,F2013
63,Kaleva,1h+avok+alk+p,kt,37.5,142500,3800,2012,5/6,on,hyvä,vuokra,D2013
64,Annala,"1h, kk, kph, la...",kt,31.5,60000,1905,1980,4/7,on,tyyd.,oma,F2013
65,Hervantajärvi,Tolppa,kt,14.0,5040,360,2024,1/1,on,hyvä,vuokra,A2018
66,Hervantajärvi,"1h, kt, alkovi,...",kt,29.0,131900,4548,2024,3/4,on,hyvä,vuokra,A2018
67,Linnainmaa,"1h, alkovi, kk,...",kt,35.5,98000,2761,2000,4/4,on,tyyd.,vuokra,F2013
68,Tammela,1h+kk,kt,35.0,114000,3257,1973,2/7,on,hyvä,oma,G2013
69,Nekala,"1h, k, kph",kt,39.0,64000,1641,1945,2/2,ei,,vuokra,D2018
70,Amuri,empty,kt,18.0,25000,1389,1981,1/1,ei,hyvä,oma,E2013
71,Ratina,"1h, alkovi, kt,...",kt,38.5,203000,5273,2011,4/5,on,hyvä,oma,E2013
72,Viinikka,"1h,k,kph/wc,et,...",kt,43.0,105000,2442,1920,1/2,ei,hyvä,vuokra,G2013
73,Multisilta,1h+kt+kph+et+pa...,kt,23.0,104200,4530,2020,8/8,on,hyvä,vuokra,B2018
74,Multisilta,"1h, kt, parvi",kt,23.0,106000,4609,2019,8/8,on,,vuokra,B2018
75,Lamminpää,"1h, kt",kt,26.0,125000,4808,2024,5/5,on,hyvä,oma,A2018
76,Rahola,"1h,kk,kph/wc, l...",kt,35.0,88200,2520,2012,2/5,on,,vuokra,D2013
77,Tammela,"1h,kk",kt,32.0,133500,4172,1979,2/6,on,,oma,F2013
78,Ranta-tampella,"1h, keittiö...",kt,27.0,179000,6630,2020,4/9,on,,oma,B2018
79,Hervanta,"1h, kk, kph, vh",kt,29.0,85000,2931,1976,3/8,on,hyvä,oma,C2018
80,Kaleva,1h+kk,kt,28.0,135687,4846,1954,3/4,ei,hyvä,vuokra,C2018
81,Hämeenpuisto,1h + kk + kph +...,kt,29.0,133500,4603,1966,2/8,on,hyvä,oma,D2018
82,Amuri,"1h,tupak,ph",kt,20.5,118000,5756,1939,4/7,on,hyvä,vuokra,E2018
83,Linnainmaa,1h+kk+s+parveke,kt,30.0,83300,2777,1990,2/3,ei,,oma,E2013
84,Tammela,1h+k,kt,28.0,156000,5571,2023,2/8,on,hyvä,vuokra,B
85,Härmälänranta,1h+kt+alk,kt,36.5,154400,4230,2018,3/6,on,hyvä,,C2013
86,Niemenranta,"1 h, kt, p",kt,29.0,139000,4793,2014,8/8,on,hyvä,oma,B2018
87,Hervantajärvi,"1h, kt, p",kt,21.0,117000,5571,2023,3/5,on,hyvä,vuokra,B2018
88,Rahola,1h+kt+lasit.p,kt,31.5,99000,3143,2014,4/5,on,hyvä,vuokra,B2018
89,Härmälä,"1h, k",kt,41.5,76000,1831,1936,2/2,ei,hyvä,vuokra,F2013
90,Hervantajärvi,"1h, kt, kph, vh...",kt,30.0,130000,4333,2024,3/4,on,hyvä,vuokra,A2018
91,Keskusta,1H+kk+kh+s+p,kt,35.5,179000,5042,1980,4/8,on,tyyd.,oma,C2018
92,Kaleva,"1h, kk, kph/wc",kt,22.0,113000,5136,1952,2/6,on,hyvä,oma,D2018
93,Huikas,1h + kk,kt,26.0,80000,3077,1960,2/2,ei,tyyd.,vuokra,
94,Nekala,"1h, kph, k",kt,39.0,70000,1795,1945,1/2,ei,hyvä,vuokra,
95,Armonkallio,1h+kk,kt,21.8,80000,3670,1928,2/5,ei,tyyd.,vuokra,F
96,Keskusta,"1h, kk, kph",kt,24.0,118500,4938,1962,3/6,on,tyyd.,oma,E2013
97,Kiveliö,Putkirempattu 1h+k,kt,35.0,47000,1343,1939,1/2,ei,tyyd.,oma,G2013
98,Tammela,"1h, kk, kph, vh...",kt,35.0,115000,3286,1973,4/7,on,tyyd.,oma,G2013
99,Tammela,"1h, kk",kt,25.5,122000,4784,1958,6/7,on,hyvä,oma,E2007
100,Hervantajärvi,katos,kt,12.5,8500,680,2024,1/1,on,hyvä,vuokra,A2018
101,Kaleva,"1h, kk",kt,35.5,135000,3803,1954,6/6,on,hyvä,vuokra,E2018
102,Hervanta,"tk, alk, kph/wc...",kt,36.0,110000,3056,2004,5/5,on,hyvä,vuokra,F2013
103,Kaleva,1h+kk+kph+alkov...,kt,31.0,134000,4323,1966,3/7,on,,vuokra,C2018
104,Annala,1h+kk+kph+p,kt,34.0,83500,2456,1981,2/3,ei,hyvä,oma,F2013
105,Janka,1h+kk+kph+sauna...,kt,34.0,119000,3500,1991,1/4,on,,vuokra,F2013
106,Kaleva,1h+kt+lasit.p,kt,25.0,145000,5800,2018,6/6,on,,vuokra,C2013
107,Kaleva,"1h, k, wc/kph",kt,31.3,129000,4121,1955,2/4,ei,hyvä,vuokra,F2013
108,Ratina,1h+kt,kt,36.0,182000,5056,2013,2/9,on,hyvä,,C2018
109,Armonkallio,"1h, k",kt,29.0,125000,4310,1998,2/3,on,hyvä,vuokra,
110,Hervantajärvi,"1h, kt, p",kt,27.0,127520,4723,2023,4/5,on,hyvä,vuokra,B2018
111,Hervantajärvi,"1h, kt, parveke",kt,27.0,139800,5178,2023,5/5,on,hyvä,vuokra,B2018
112,Keskusta,"1h, k",kt,43.0,132611,3084,1913,2/2,ei,,oma,G2013
113,Kaleva,1h+kt+p,kt,25.0,146750,5870,2018,2/6,on,hyvä,vuokra,C2013
114,Pohtola,"1h, kk, kph, s,...",kt,35.0,109000,3114,1990,1/2,ei,hyvä,oma,F2013
115,Lentävänniemi,"1-2h, kk",kt,38.0,85200,2242,1977,3/6,on,hyvä,oma,C2013
116,Kaleva,"1h,kk,kph",kt,32.0,109000,3406,1960,5/8,on,,vuokra,F2013
117,Armonkallio,"1 h, kk, kph/ wc",kt,24.0,104000,4333,1969,2/3,ei,tyyd.,oma,F2013
118,Ratinanranta,"1 h, makuualkov...",kt,38.5,194500,5052,2011,2/5,on,hyvä,oma,E2013
119,Kaleva,"1h, k, kph, et",kt,31.5,130000,4127,1955,1/4,ei,hyvä,vuokra,F2013
120,Hervantajärvi,"1h, k, las.parv.",kt,27.0,127500,4722,2023,4/7,on,hyvä,vuokra,B2018
121,Pyynikki,1+k+kph,kt,44.0,195000,4432,1928,4/5,on,hyvä,vuokra,D2018
122,Ranta-tampella,"1h, kt, kph, vh...",kt,32.5,205000,6308,2022,2/8,on,hyvä,oma,B
123,Tammela,"1 h, kk, kph, p",kt,32.5,117000,3600,1980,4/6,on,tyyd.,oma,E2013
124,Kaleva,"1h, k, kph/wc",kt,35.6,120620,3388,1958,1/6,on,tyyd.,vuokra,D2018
125,Kaleva,"1h,alk,k",kt,34.0,133000,3912,1953,3/6,on,,vuokra,C2018
126,Petsamo,"1h, k, kph",kt,42.0,134000,3190,1928,3/3,ei,hyvä,vuokra,E2007
127,Hervanta,"1h, kt, kph, ra...",kt,29.0,131638,4539,2022,5/5,on,hyvä,vuokra,B2018
128,Tammela,1h+kk+kph+p,kt,28.0,115000,4107,1970,7/7,on,tyyd.,oma,C2018
129,Hervantajärvi,"1h, kt, parveke",kt,27.0,130700,4841,2023,5/5,on,hyvä,vuokra,B2018
130,Amuri,1h+kk+kph/WC,kt,29.0,134000,4621,1964,6/10,on,tyyd.,oma,B2018
131,Koivistonkylä,"1h, k, parvi, I...",kt,30.5,150000,4918,2021,2/2,ei,hyvä,,A2018
132,Vuores,1h+kt+ransk.parv.,kt,22.5,85000,3778,2023,4/4,on,hyvä,vuokra,
133,Armonkallio,1H+TK,kt,29.5,210000,7119,2016,5/8,on,hyvä,oma,C2013
134,Hervantajärvi,"1h, kt, parveke",kt,27.0,122500,4537,2023,4/5,on,hyvä,vuokra,B2018
135,Lentävänniemi,"1h,kk",kt,30.0,86000,2867,1978,1/3,ei,,vuokra,D2018
136,Härmälänranta,tupak+1h+s,kt,44.0,180000,4091,2015,3/5,on,,oma,B2018
137,Kaleva,"1h, kk",kt,28.0,88650,3166,1958,4/7,on,hyvä,vuokra,G2013
138,Kaleva,1h+kt+kph+lasit.p.,kt,27.0,179000,6630,2023,2/7,on,hyvä,vuokra,A2018
139,Nekala,"1h, k, kph/wc",kt,25.0,51000,2040,1937,2/2,ei,hyvä,vuokra,
140,Hervanta,1h+kk+kph+lasit...,kt,30.0,83000,2767,1980,2/6,on,hyvä,oma,E2013
141,Tammela,"1h, kk, kph/wc, vh",kt,32.5,153000,4708,1970,7/7,on,hyvä,oma,F2018
142,Tammela,"1h, kk",kt,32.0,140500,4391,1979,3/6,on,hyvä,oma,F2013
143,Vuores,1h+kk+kph+lasit...,kt,23.0,86000,3739,2016,4/5,ei,,vuokra,C2013
144,Härmälä,"1h, kk",kt,28.0,76500,2732,1969,2/3,ei,hyvä,vuokra,F2013
145,Pyynikki,"1h, kk",kt,26.0,124000,4769,1940,2/3,ei,,oma,E2013
146,Haukiluoma,"1h, kt, kph, la...",kt,34.5,119000,3449,2020,3/5,on,hyvä,,B2018
147,Keskusta,1h+kk+kh,kt,24.0,132000,5500,1962,4/6,on,hyvä,oma,E2013
148,Vuores,1h+kt+kph+ransk.p.,kt,27.0,92000,3407,2020,3/4,on,hyvä,vuokra,B2018
149,Niemenranta,1h+kt,kt,24.0,122500,5104,2017,6/7,on,hyvä,,C2013
150,Keskusta,1H+KK+KH,kt,28.5,128800,4519,1962,3/6,on,tyyd.,oma,E2013
151,Kaleva,"1h, k",kt,30.0,88000,2933,1963,1/6,on,,vuokra,F2013
152,Hämeenpuisto,"1h,avok,kph,s",kt,32.0,135000,4219,1908,2/3,ei,hyvä,oma,G2013
153,Hervanta,1h+k+kph+parv.,kt,27.0,95000,3519,2004,4/4,on,hyvä,vuokra,F2013
154,Hämeenpuisto,1h+mk+kk,kt,14.2,81000,5704,1938,5/8,on,hyvä,oma,E2013
155,Kaukajärvi,1h+kk+kph+lasit...,kt,29.0,76500,2638,1965,2/3,ei,,oma,F2013
156,Kaleva,"1h,k",kt,36.0,117000,3250,1960,3/6,on,,vuokra,G2013
157,Epilä,"1h, kt, alkovi,...",kt,25.0,92000,3680,2005,3/4,on,hyvä,oma,C2018
158,Tammela,"1h, kt, p",kt,27.0,165000,6111,2024,2/7,on,,vuokra,B2018
159,Härmälänranta,1h+kt,kt,35.5,154000,4338,2017,5/5,on,hyvä,,C2013
160,Keskusta,1 asuinh.+kk,kt,24.0,124000,5167,1927,1/2,ei,tyyd.,oma,
161,Härmälä,"1h, k",kt,36.0,72500,2014,1938,2/2,ei,hyvä,vuokra,F2013
162,Pyynikki,1h+alkovi+kk+kp...,kt,35.0,170000,4857,1973,1/3,on,hyvä,vuokra,F2013
163,Rantaperkiö,1h+kk+kph,kt,36.0,90000,2500,1960,1/6,on,tyyd.,vuokra,F2013
164,Keskusta,1h+tk+s,kt,42.0,180000,4286,1997,4/8,on,,oma,
165,Keskusta,"1h,kt,vh,kph,pa...",kt,35.0,114000,3257,1958,6/6,on,,oma,D2018
166,Hämeenpuisto,Tupak+kh+rp,kt,29.0,180000,6207,1956,5/5,on,hyvä,vuokra,F2013
167,Hämeenpuisto,Tupak+kh+rp,kt,29.0,180000,6207,1956,5/5,on,hyvä,oma,F2013
168,Armonkallio,"1h,kk",kt,30.0,120000,4000,1976,2/3,ei,,oma,
169,Kaleva,tupak+alk+p,kt,37.5,137000,3653,2012,1/6,on,hyvä,vuokra,D2013
170,Keskusta,"1 h, kk, kph",kt,31.5,125000,3968,1965,4/6,on,tyyd.,oma,F2013
171,Lamminpää,1h+k,kt,36.0,65000,1806,1949,1/2,ei,hyvä,oma,
172,Lielahti,"1h,kt",kt,24.0,118000,4917,2019,4/8,on,hyvä,oma,B2018
173,Vuores,1h+kt+kph+iso p...,kt,24.0,88000,3667,2016,5/5,on,hyvä,vuokra,C2013
174,Kaleva,"1h, k",kt,37.0,122000,3297,1951,1/4,ei,tyyd.,vuokra,D2013
175,Annala,1h+kt+parvi+las...,kt,21.0,116800,5562,2021,5/5,on,hyvä,vuokra,B2018
176,Tasanne,"2h, k, kph, s, ...",rt,61.0,130000,2131,1986,1/1,ei,hyvä,oma,
177,Tammela,"2-3h, k, kph, s...",kt,65.5,160000,2443,1980,2/6,on,tyyd.,oma,
178,Tesoma,2 h + k + vh + ...,kt,55.5,71000,1279,1969,5/7,on,tyyd.,vuokra,D2018
179,Peltolammi,2h+k+kh+parv. (...,kt,56.5,71000,1257,1972,1/7,on,huono,vuokra,F2013
180,Armonkallio,"2h, k, kph, s, ...",kt,47.0,175000,3723,1988,3/5,on,,oma,F2013
181,Lielahti,"2h, kt, kph, las.p",kt,52.0,232500,4471,2019,7/8,on,hyvä,oma,B2018
182,Tammela,"2h, k, s, psh/w...",kt,56.0,269000,4804,2006,3/4,on,hyvä,oma,D2018
183,Kaleva,"2 h, k, kph, la...",kt,50.0,165000,3300,1959,2/6,on,tyyd.,vuokra,F2013
184,Kaukajärvi,"2h, k, kph, las...",kt,50.5,100000,1980,1967,3/7,on,hyvä,oma,E2018
185,Tammela,2H+K+KPH+VH+P,kt,60.0,168000,2800,1950,5/6,on,tyyd.,oma,
186,Lamminpää,2h+k+erill.wc+s...,rt,62.0,113500,1831,1985,1/1,ei,tyyd.,oma,E2013
187,Irjala,2h+k+vh+kph+par...,kt,65.0,80000,1231,1981,1/3,ei,tyyd.,oma,
188,Linnainmaa,"2h, k, kph, s, ...",rt,55.5,147500,2658,1989,1/1,ei,hyvä,vuokra,
189,Hervanta,"2h, k, khh, kph...",kt,66.0,95000,1439,1980,4/6,on,tyyd.,oma,
190,Tammela,2h+kk+kph+lasit...,kt,46.0,183000,3978,1974,7/7,on,hyvä,oma,C2018
191,Hervanta,"2 h, k, s, kph,...",rt,53.0,115000,2170,1976,1/1,ei,tyyd.,oma,D2018
192,Vuores,2h+kt+kph+huone...,kt,37.0,128000,3459,2017,3/6,on,,vuokra,C2013
193,Hämeenpuisto,1h+k+alk+kph+wc...,kt,47.0,180000,3830,1938,6/8,on,,oma,E2013
194,Irjala,"2h,k,vh,parveke...",kt,50.0,102060,2041,1971,3/3,on,tyyd.,oma,F2013
195,Kaleva,2h+kk+kph+vh+et,kt,50.0,144500,2890,1965,6/9,on,,vuokra,G2013
196,Epilä,"2h, avokeitti...",kt,46.0,130000,2826,2007,3/5,on,,oma,C2018
197,Takahuhti,"2h, k, las. p",kt,49.0,150000,3061,2012,3/4,on,,vuokra,D2013
198,Amuri,"2h, kk",kt,36.0,125000,3472,1946,2/5,on,,vuokra,D2018
199,Kaleva,"2h, kt, kph, te...",kt,40.0,190000,4750,2016,2/9,on,hyvä,vuokra,C2013
200,Hallila,"2 h, kk, ph +s",rt,44.5,95000,2135,1991,1/1,ei,tyyd.,vuokra,F2013
201,Viinikka,2-3h+k+kph/wc,kt,58.0,146000,2517,1949,2/2,ei,,vuokra,D2018
202,Rantaperkiö,"2h, kk, kph, p",kt,48.0,136000,2833,1960,1/6,on,hyvä,vuokra,F2013
203,Lentävänniemi,"2h, kt, s",kt,43.5,129000,2966,2013,6/8,on,hyvä,vuokra,C2013
204,Keskusta,2h+k+p,kt,62.5,193000,3088,1967,5/6,on,tyyd.,oma,D2018
205,Peltolammi,"2h, k, wc/kph, ...",kt,53.5,105000,1963,1968,3/3,ei,hyvä,vuokra,C2018
206,Keskusta,2h+kt+kph+wc+ra...,kt,56.5,307000,5434,2020,8/8,on,hyvä,oma,E2018
207,Lukonmäki,"2h, k, kph, vh,...",kt,61.0,102000,1672,1980,3/3,ei,,oma,D2018
208,Hervanta,2h+k+kph/s+wc+v...,kt,54.0,99000,1833,1988,2/8,on,,oma,B2018
209,Kaleva,"2h, k, kph / s",kt,56.0,178000,3179,1959,2/3,ei,hyvä,vuokra,D2018
210,Multisilta,"2h, k, kph",kt,58.0,75500,1302,1971,4/5,on,,vuokra,E2013
211,Hervanta,"2h, k, kph/s/wc...",kt,58.5,97000,1658,1987,6/8,on,hyvä,oma,F2013
212,Hatanpää,2h+k+s,kt,59.5,175000,2941,2000,2/6,on,hyvä,vuokra,F2013
213,Keskusta,2h+k+kph+vh,kt,51.2,220100,4299,1965,6/7,on,hyvä,oma,F2013
214,Peltolammi,"2h, k, kph/wc, ...",kt,53.5,75000,1402,1969,3/3,ei,tyyd.,vuokra,F2013
215,Annala,Olohuone/keitti...,kt,40.0,105000,2625,1994,4/4,on,hyvä,vuokra,C2018
216,Tammela,"2h, k, kph, s, ...",kt,57.0,176000,3088,1995,1/5,on,tyyd.,oma,D2018
217,Lentävänniemi,2h+k+kph/wc+vh+...,kt,58.0,77500,1336,1974,7/7,on,,oma,D2018
218,Amuri,"2h, k, ph, vh, p",kt,58.0,170500,2940,1969,5/6,on,tyyd.,oma,
219,Takahuhti,2h+k+kph+vh+las...,kt,65.0,90000,1385,1981,3/3,ei,hyvä,oma,
220,Osmonmäki,2h+kk+parv,kt,48.5,154000,3175,1968,4/6,on,tyyd.,oma,B2018
221,Keskusta,"2h, kt",kt,40.0,310495,7762,2024,4/8,on,hyvä,oma,B2018
222,Hirvikallio,"2h+k, khp/ s, v...",rt,55.0,146500,2664,2010,1/1,ei,hyvä,vuokra,E2013
223,Hatanpää,2h+kt+s+kph+par...,kt,42.0,145000,3452,1997,5/5,on,hyvä,vuokra,D2007
224,Hatanpää,"2h, kt, kph/wc,...",kt,46.0,169000,3674,2002,4/4,on,,vuokra,
225,Annala,"2h, kk, kph/s, ...",kt,43.0,83000,1930,1988,1/3,ei,hyvä,oma,E2013
226,Keskusta,oh/avokeitti...,kt,57.0,202500,3553,2006,4/5,on,hyvä,vuokra,D2013
227,Hervantajärvi,"2h, kt, s, parveke",kt,43.0,145852,3392,2023,2/5,on,,vuokra,B2018
228,Järvensivu,2h + k + kph/wc...,kt,56.0,167000,2982,1962,6/6,on,,vuokra,D2018
229,Kaleva,2h+kk+kh+p,kt,56.0,180000,3214,1950,2/3,ei,hyvä,vuokra,E2018
230,Haukiluoma,2h + k + kph/sa...,rt,63.0,110000,1746,1986,1/1,ei,tyyd.,vuokra,D2018
231,Haapalinna,"2h,k,kph,s,lasi...",kt,59.0,115000,1949,1989,2/6,on,,oma,E2018
232,Tammela,2h+k+kph+sauna,kt,44.5,135000,3034,1958,3/4,ei,tyyd.,oma,F2018
233,Nekala,"2h, kk, kph, vh, p",kt,52.0,120000,2308,1958,1/3,ei,hyvä,vuokra,F2013
234,Käpylä,2H+KK+S+lasitet...,kt,51.0,175000,3431,2007,3/6,on,tyyd.,vuokra,E2013
235,Rahola,"2h,k,kph,p",kt,59.0,109000,1847,1966,2/3,ei,,oma,E2018
236,Annala,2h+k+s+las.parveke,kt,53.0,110000,2075,1989,3/3,on,hyvä,oma,E2013
237,Peltolammi,"2h, k, vh, p",kt,53.5,94000,1757,1967,1/3,ei,hyvä,vuokra,E2018
238,Hirvikallio,"2h+k, khp, s + ...",rt,55.0,154000,2800,2010,1/1,ei,hyvä,vuokra,E2013
239,Petsamo,2k+k+vh+kph+las p,kt,57.0,156500,2746,1968,3/3,ei,,vuokra,D2018
240,Kissanmaa,"2h, kk, wc/kph,...",kt,36.0,150000,4167,2016,2/2,ei,hyvä,vuokra,C2013
241,Linnainmaa,2h+k+s,kt,44.0,107500,2443,2004,2/3,on,tyyd.,vuokra,C2018
242,Keskusta,"2h, kt",kt,41.0,285000,6951,2024,2/8,on,hyvä,oma,B2018
243,Armonkallio,"2h, k, kph/wc, ...",kt,52.5,165000,3143,1971,1/3,on,tyyd.,oma,E2018
244,Keskusta,2h+k+parveke-(l...,kt,60.0,200000,3333,1964,1/7,on,tyyd.,oma,D2018
245,Sorsapuisto,"2h, kk, erill.w...",kt,53.0,189000,3566,1936,3/4,ei,hyvä,vuokra,E2018
246,Tammela,2h+k+s+p,kt,59.5,169500,2849,1985,3/7,on,tyyd.,oma,F2013
247,Atala,2h + kk + s,rt,48.0,140000,2917,1987,1/1,ei,hyvä,oma,C2018
248,Annala,2h+kt+s+kph+vh,kt,44.0,119900,2725,2016,3/5,on,hyvä,vuokra,C2013
249,Kaleva,2h+k,kt,63.0,174000,2762,1956,2/6,on,,vuokra,D2018
250,Ratinanranta,"2h,kk,kph,lasit...",kt,51.0,252000,4941,2011,3/5,on,hyvä,oma,E2018
251,Keskusta,"2h,k,s, kattote...",kt,63.0,485000,7698,2015,9/9,on,hyvä,oma,C2018
252,Finninmäki,"2h, k, rt, tkh,...",rt,69.0,167000,2420,1984,1/2,ei,hyvä,oma,D2018
253,"Annala, kaukajärvi",2h+k+kph+parveke,kt,55.5,90500,1631,1974,3/3,ei,tyyd.,oma,D2018
254,Tammela,2h+kk+kh+alk,kt,43.0,166000,3860,1961,7/7,on,tyyd.,oma,C2018
255,Keskusta,"2h,k,s,p",kt,54.0,324000,6000,1965,,on,hyvä,oma,C2018
256,Kaukajärvi,2h+kt+s+lasit.p.,kt,44.5,194000,4360,2024,5/8,ei,hyvä,vuokra,A2018
257,Keskusta,"2h, k, kph, las...",kt,53.0,187500,3538,1972,5/6,on,hyvä,vuokra,E2018
258,Keskusta,2 h+kk+kph+parveke,kt,50.0,38000,760,1977,1/3,ei,tyyd.,oma,
